,preco,marca,status
2336,339,Distrito Federal,FAZER
2337,340,Distrito Federal,FAZER
2338,341,Distrito Federal,FAZER
2339,342,Distrito Federal,FAZER
2340,343,Distrito Federal,FAZER
2341,344,Distrito Federal,FAZER
2342,345,Distrito Federal,FAZER
2343,346,Distrito Federal,FAZER
2344,347,Distrito Federal,FAZER
2345,348,Distrito Federal,FAZER
2346,349,Distrito Federal,FAZER
2347,350,Distrito Federal,FAZER
2348,351,Distrito Federal,FAZER
2349,352,Distrito Federal,FAZER
2350,353,Distrito Federal,FAZER
2351,354,Distrito Federal,FAZER
2352,355,Distrito Federal,FAZER
2353,356,Distrito Federal,FAZER
2354,357,Distrito Federal,FAZER
2355,358,Distrito Federal,FAZER
2356,359,Distrito Federal,FAZER
2357,360,Distrito Federal,FAZER
2358,361,Distrito Federal,FAZER
2359,362,Distrito Federal,FAZER
2360,363,Distrito Federal,FAZER
2361,364,Distrito Federal,FAZER
2362,365,Distrito Federal,FAZER
2363,366,Distrito Federal,FAZER
2364,367,Distrito Federal,FAZER
2365,368,Distrito Federal,FAZER
2366,369,Distrito Federal,FAZER
2367,370,Distrito Federal,FAZER
2368,371,Distrito Federal,FAZER
2369,372,Distrito Federal,FAZER
2370,373,Distrito Federal,FAZER
2371,374,Distrito Federal,FAZER
2372,375,Distrito Federal,FAZER
2373,376,Distrito Federal,FAZER
2374,377,Distrito Federal,FAZER
2375,378,Distrito Federal,FAZER
2376,379,Distrito Federal,FAZER
2377,380,Distrito Federal,FAZER
2378,381,Distrito Federal,FAZER
2379,382,Distrito Federal,FAZER
2380,383,Distrito Federal,FAZER
2381,384,Distrito Federal,FAZER
2382,385,Distrito Federal,FAZER
2383,386,Distrito Federal,FAZER
2384,387,Distrito Federal,FAZER
2385,388,Distrito Federal,FAZER
2386,389,Distrito Federal,FAZER
2387,390,Distrito Federal,FAZER
2388,391,Distrito Federal,FAZER
2389,392,Distrito Federal,FAZER
2390,393,Distrito Federal,FAZER
2391,394,Distrito Federal,FAZER
2392,395,Distrito Federal,FAZER
2393,396,Distrito Federal,FAZER
2394,397,Distrito Federal,FAZER
2395,398,Distrito Federal,FAZER
2396,399,Distrito Federal,FAZER
2397,400,Distrito Federal,FAZER
2398,401,Distrito Federal,FAZER
2399,402,Distrito Federal,FAZER
2400,403,Distrito Federal,FAZER
2401,404,Distrito Federal,FAZER
2402,405,Distrito Federal,FAZER
2403,406,Distrito Federal,FAZER
2404,407,Distrito Federal,FAZER
2405,408,Distrito Federal,FAZER
2406,409,Distrito Federal,FAZER
2407,410,Distrito Federal,FAZER
2408,411,Distrito Federal,FAZER
2409,412,Distrito Federal,FAZER
2410,413,Distrito Federal,FAZER
2411,414,Distrito Federal,FAZER
2412,415,Distrito Federal,FAZER
2413,416,Distrito Federal,FAZER
2414,417,Distrito Federal,FAZER
2415,418,Distrito Federal,FAZER
2416,419,Distrito Federal,FAZER
2417,420,Distrito Federal,FAZER
2418,421,Distrito Federal,FAZER
2419,422,Distrito Federal,FAZER
2420,423,Distrito Federal,FAZER
2421,424,Distrito Federal,FAZER
2422,425,Distrito Federal,FAZER
2423,426,Distrito Federal,FAZER
2424,427,Distrito Federal,FAZER
2425,428,Distrito Federal,FAZER
2426,429,Distrito Federal,FAZER
2427,430,Distrito Federal,FAZER
2428,431,Distrito Federal,FAZER
2429,432,Distrito Federal,FAZER
2430,433,Distrito Federal,FAZER
