Unnamed: 0,preco,cidade,status
3392,396,Espírito Santo,FAZER
3393,397,Espírito Santo,FAZER
3394,398,Espírito Santo,FAZER
3395,399,Espírito Santo,FAZER
3396,400,Espírito Santo,FAZER
3397,401,Espírito Santo,FAZER
3398,402,Espírito Santo,FAZER
3399,403,Espírito Santo,FAZER
3400,404,Espírito Santo,FAZER
3401,405,Espírito Santo,FAZER
3402,406,Espírito Santo,FAZER
3403,407,Espírito Santo,FAZER
3404,408,Espírito Santo,FAZER
3405,409,Espírito Santo,FAZER
3406,410,Espírito Santo,FAZER
3407,411,Espírito Santo,FAZER
3408,412,Espírito Santo,FAZER
3409,413,Espírito Santo,FAZER
3410,414,Espírito Santo,FAZER
3411,415,Espírito Santo,FAZER
3412,416,Espírito Santo,FAZER
3413,417,Espírito Santo,FAZER
3414,418,Espírito Santo,FAZER
3415,419,Espírito Santo,FAZER
3416,420,Espírito Santo,FAZER
3417,421,Espírito Santo,FAZER
3418,422,Espírito Santo,FAZER
3419,423,Espírito Santo,FAZER
3420,424,Espírito Santo,FAZER
3421,425,Espírito Santo,FAZER
3422,426,Espírito Santo,FAZER
3423,427,Espírito Santo,FAZER
3424,428,Espírito Santo,FAZER
3425,429,Espírito Santo,FAZER
3426,430,Espírito Santo,FAZER
3427,431,Espírito Santo,FAZER
3428,432,Espírito Santo,FAZER
3429,433,Espírito Santo,FAZER
3430,434,Espírito Santo,FAZER
3431,435,Espírito Santo,FAZER
3432,436,Espírito Santo,FAZER
3433,437,Espírito Santo,FAZER
3434,438,Espírito Santo,FAZER
3435,439,Espírito Santo,FAZER
3436,440,Espírito Santo,FAZER
3437,441,Espírito Santo,FAZER
3438,442,Espírito Santo,FAZER
3439,443,Espírito Santo,FAZER
3440,444,Espírito Santo,FAZER
3441,445,Espírito Santo,FAZER
3442,446,Espírito Santo,FAZER
3443,447,Espírito Santo,FAZER
3444,448,Espírito Santo,FAZER
3445,449,Espírito Santo,FAZER
3446,450,Espírito Santo,FAZER
3447,451,Espírito Santo,FAZER
3448,452,Espírito Santo,FAZER
3449,453,Espírito Santo,FAZER
3450,454,Espírito Santo,FAZER
3451,455,Espírito Santo,FAZER
3452,456,Espírito Santo,FAZER
3453,457,Espírito Santo,FAZER
3454,458,Espírito Santo,FAZER
3455,459,Espírito Santo,FAZER
3456,460,Espírito Santo,FAZER
3457,461,Espírito Santo,FAZER
3458,462,Espírito Santo,FAZER
3459,463,Espírito Santo,FAZER
3460,464,Espírito Santo,FAZER
3461,465,Espírito Santo,FAZER
3462,466,Espírito Santo,FAZER
3463,467,Espírito Santo,FAZER
3464,468,Espírito Santo,FAZER
3465,469,Espírito Santo,FAZER
3466,470,Espírito Santo,FAZER
3467,471,Espírito Santo,FAZER
3468,472,Espírito Santo,FAZER
3469,473,Espírito Santo,FAZER
3470,474,Espírito Santo,FAZER
3471,475,Espírito Santo,FAZER
3472,476,Espírito Santo,FAZER
3473,477,Espírito Santo,FAZER
3474,478,Espírito Santo,FAZER
3475,479,Espírito Santo,FAZER
3476,480,Espírito Santo,FAZER
3477,481,Espírito Santo,FAZER
3478,482,Espírito Santo,FAZER
3479,483,Espírito Santo,FAZER
3480,484,Espírito Santo,FAZER
3481,485,Espírito Santo,FAZER
3482,486,Espírito Santo,FAZER
3483,487,Espírito Santo,FAZER
3484,488,Espírito Santo,FAZER
3485,489,Espírito Santo,FAZER
3486,490,Espírito Santo,FAZER
3487,491,Espírito Santo,FAZER
3488,492,Espírito Santo,FAZER
3489,493,Espírito Santo,FAZER
3490,494,Espírito Santo,FAZER
3491,495,Espírito Santo,FAZER
3492,496,Espírito Santo,FAZER
3493,497,Espírito Santo,FAZER
3494,498,Espírito Santo,FAZER
3495,499,Espírito Santo,FAZER
3496,500,Espírito Santo,FAZER
3497,501,Espírito Santo,FAZER
3498,502,Espírito Santo,FAZER
3499,503,Espírito Santo,FAZER
3500,504,Espírito Santo,FAZER
3501,505,Espírito Santo,FAZER
3502,506,Espírito Santo,FAZER
3503,507,Espírito Santo,FAZER
3504,508,Espírito Santo,FAZER
3505,509,Espírito Santo,FAZER
3506,510,Espírito Santo,FAZER
3507,511,Espírito Santo,FAZER
3508,512,Espírito Santo,FAZER
3509,513,Espírito Santo,FAZER
3510,514,Espírito Santo,FAZER
3511,515,Espírito Santo,FAZER
3512,516,Espírito Santo,FAZER
3513,517,Espírito Santo,FAZER
3514,518,Espírito Santo,FAZER
3515,519,Espírito Santo,FAZER
3516,520,Espírito Santo,FAZER
3517,521,Espírito Santo,FAZER
3518,522,Espírito Santo,FAZER
3519,523,Espírito Santo,FAZER
3520,524,Espírito Santo,FAZER
